{'time': 1731580460.5294878, 'action': 'left', 'cumulative_go': 0, 'cumulative_right': 0, 'cumulative_left': 0.4783139228820801, 'contour_L_center': (None, None), 'contour_R_center': (601, 91), 'slope_L': None, 'slope_R': 1.3768115942028984}
{'time': 1731580460.8365126, 'action': 'left', 'cumulative_go': 0, 'cumulative_right': 0, 'cumulative_left': 0.7853183746337891, 'contour_L_center': (None, None), 'contour_R_center': (602, 91), 'slope_L': None, 'slope_R': 1.3571428571428572}
{'time': 1731580460.9028964, 'action': 'left', 'cumulative_go': 0, 'cumulative_right': 0, 'cumulative_left': 0.8517005443572998, 'contour_L_center': (None, None), 'contour_R_center': (606, 98), 'slope_L': None, 'slope_R': 1.3728813559322033}
{'time': 1731580460.9631147, 'action': 'left', 'cumulative_go': 0, 'cumulative_right': 0, 'cumulative_left': 0.9119124412536621, 'contour_L_center': (None, None), 'contour_R_center': (601, 91), 'slope_L': None, 'slope_R': 1.3714285714285714}
{'time': 1731580461.0027592, 'action': 'left', 'cumulative_go': 0, 'cumulative_right': 0, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (None, None), 'contour_R_center': (596, 111), 'slope_L': None, 'slope_R': 1.4857142857142858}
{'time': 1731580461.0454514, 'action': 'go', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (33, 141), 'contour_R_center': (604, 89), 'slope_L': -1.6666666666666667, 'slope_R': 1.3582089552238805}
{'time': 1731580461.099309, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.0538477897644043, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (25, 197), 'contour_R_center': (None, None), 'slope_L': -1.9666666666666666, 'slope_R': None}
{'time': 1731580461.143868, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.09840083122253418, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (119, 70), 'contour_R_center': (None, None), 'slope_L': -1.675, 'slope_R': None}
{'time': 1731580461.1849818, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.13950800895690918, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (69, 178), 'contour_R_center': (None, None), 'slope_L': -1.6111111111111112, 'slope_R': None}
{'time': 1731580461.2258499, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.18036794662475586, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (68, 191), 'contour_R_center': (None, None), 'slope_L': -1.6734693877551021, 'slope_R': None}
{'time': 1731580461.2670186, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.22153043746948242, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (18, 173), 'contour_R_center': (None, None), 'slope_L': -1.875, 'slope_R': None}
{'time': 1731580461.3080087, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.2625105381011963, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (92, 79), 'contour_R_center': (None, None), 'slope_L': -1.6176470588235294, 'slope_R': None}
{'time': 1731580461.348099, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.3025944232940674, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (95, 196), 'contour_R_center': (None, None), 'slope_L': -1.72, 'slope_R': None}
{'time': 1731580461.386658, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.3411424160003662, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (169, 82), 'contour_R_center': (None, None), 'slope_L': -1.6129032258064515, 'slope_R': None}
{'time': 1731580461.4260128, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.3804910182952881, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (95, 205), 'contour_R_center': (None, None), 'slope_L': -1.8108108108108107, 'slope_R': None}
{'time': 1731580461.4652624, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.41973352432250977, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (180, 66), 'contour_R_center': (None, None), 'slope_L': -1.411764705882353, 'slope_R': None}
{'time': 1731580461.5034668, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.4579308032989502, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (137, 33), 'contour_R_center': (None, None), 'slope_L': -1.2826086956521738, 'slope_R': None}
{'time': 1731580461.56155, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.5160074234008789, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (131, 34), 'contour_R_center': (None, None), 'slope_L': -1.3191489361702127, 'slope_R': None}
{'time': 1731580461.6028233, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.557274341583252, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (92, 64), 'contour_R_center': (None, None), 'slope_L': -1.1951219512195121, 'slope_R': None}
{'time': 1731580461.6501057, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.6045503616333008, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (115, 116), 'contour_R_center': (None, None), 'slope_L': -1.6071428571428572, 'slope_R': None}
{'time': 1731580461.691242, 'action': 'right', 'cumulative_go': 0.04263734817504883, 'cumulative_right': 0.6456799507141113, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (162, 30), 'contour_R_center': (None, None), 'slope_L': -1.6764705882352942, 'slope_R': None}
{'time': 1731580461.7371264, 'action': 'go', 'cumulative_go': 0.08851146697998047, 'cumulative_right': 0.6456799507141113, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580461.7813451, 'action': 'right', 'cumulative_go': 0.08851146697998047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 0.9515490531921387, 'contour_L_center': (81, 141), 'contour_R_center': (None, None), 'slope_L': -1.6666666666666667, 'slope_R': None}
{'time': 1731580461.8257022, 'action': 'left', 'cumulative_go': 0.08851146697998047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 0.9958992004394531, 'contour_L_center': (None, None), 'contour_R_center': (599, 74), 'slope_L': None, 'slope_R': 1.3243243243243243}
{'time': 1731580461.8674624, 'action': 'left', 'cumulative_go': 0.08851146697998047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.0376367568969727, 'contour_L_center': (None, None), 'contour_R_center': (596, 79), 'slope_L': None, 'slope_R': 1.3164556962025316}
{'time': 1731580461.9103024, 'action': 'go', 'cumulative_go': 0.13120293617248535, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.0376367568969727, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580461.9518938, 'action': 'go', 'cumulative_go': 0.17276978492736816, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.0376367568969727, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580461.9943526, 'action': 'left', 'cumulative_go': 0.17276978492736816, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.0800895690917969, 'contour_L_center': (None, None), 'contour_R_center': (567, 73), 'slope_L': None, 'slope_R': 1.2727272727272727}
{'time': 1731580462.0355642, 'action': 'go', 'cumulative_go': 0.2139573097229004, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.0800895690917969, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.0786176, 'action': 'left', 'cumulative_go': 0.2139573097229004, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.1231358051300049, 'contour_L_center': (None, None), 'contour_R_center': (526, 35), 'slope_L': None, 'slope_R': 1.2352941176470589}
{'time': 1731580462.1206434, 'action': 'left', 'cumulative_go': 0.2139573097229004, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.1651458740234375, 'contour_L_center': (None, None), 'contour_R_center': (528, 42), 'slope_L': None, 'slope_R': 1.2222222222222223}
{'time': 1731580462.1612036, 'action': 'go', 'cumulative_go': 0.2545039653778076, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.1651458740234375, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.2037086, 'action': 'go', 'cumulative_go': 0.2969968318939209, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.1651458740234375, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.2470648, 'action': 'left', 'cumulative_go': 0.2969968318939209, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.2084920406341553, 'contour_L_center': (None, None), 'contour_R_center': (540, 29), 'slope_L': None, 'slope_R': 1.1956521739130435}
{'time': 1731580462.2893846, 'action': 'go', 'cumulative_go': 0.33930492401123047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.2084920406341553, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.3311498, 'action': 'left', 'cumulative_go': 0.33930492401123047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.2502493858337402, 'contour_L_center': (None, None), 'contour_R_center': (545, 35), 'slope_L': None, 'slope_R': 1.1818181818181819}
{'time': 1731580462.3737507, 'action': 'left', 'cumulative_go': 0.33930492401123047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.2928433418273926, 'contour_L_center': (None, None), 'contour_R_center': (619, 168), 'slope_L': None, 'slope_R': 1.6875}
{'time': 1731580462.4169183, 'action': 'left', 'cumulative_go': 0.33930492401123047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.3360042572021484, 'contour_L_center': (None, None), 'contour_R_center': (607, 145), 'slope_L': None, 'slope_R': 1.7241379310344827}
{'time': 1731580462.4587934, 'action': 'left', 'cumulative_go': 0.33930492401123047, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.3778715133666992, 'contour_L_center': (None, None), 'contour_R_center': (612, 149), 'slope_L': None, 'slope_R': 1.8}
{'time': 1731580462.5014398, 'action': 'go', 'cumulative_go': 0.3819398880004883, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.3778715133666992, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.5492883, 'action': 'left', 'cumulative_go': 0.3819398880004883, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4257121086120605, 'contour_L_center': (None, None), 'contour_R_center': (610, 104), 'slope_L': None, 'slope_R': 1.3214285714285714}
{'time': 1731580462.5918915, 'action': 'go', 'cumulative_go': 0.4245340824127197, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4257121086120605, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.634194, 'action': 'go', 'cumulative_go': 0.466825008392334, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4257121086120605, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580462.6769192, 'action': 'left', 'cumulative_go': 0.466825008392334, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (None, None), 'contour_R_center': (591, 68), 'slope_L': None, 'slope_R': 1.375}
{'time': 1731580462.719463, 'action': 'go', 'cumulative_go': 0.5093610286712646, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (46, 56), 'contour_R_center': (574, 42), 'slope_L': -1.2359550561797752, 'slope_R': 1.2727272727272727}
{'time': 1731580462.7630353, 'action': 'go', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.6898915767669678, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (34, 77), 'contour_R_center': (607, 83), 'slope_L': -1.196969696969697, 'slope_R': 1.4915254237288136}
{'time': 1731580462.8084147, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.735264778137207, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (102, 77), 'contour_R_center': (None, None), 'slope_L': -1.4444444444444444, 'slope_R': None}
{'time': 1731580462.851373, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.7782111167907715, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (79, 34), 'contour_R_center': (None, None), 'slope_L': -1.2545454545454546, 'slope_R': None}
{'time': 1731580462.8960285, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.822859525680542, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (35, 92), 'contour_R_center': (None, None), 'slope_L': -1.203125, 'slope_R': None}
{'time': 1731580462.9406977, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.8675203323364258, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (55, 171), 'contour_R_center': (None, None), 'slope_L': -1.7, 'slope_R': None}
{'time': 1731580462.9906719, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.9174878597259521, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (101, 94), 'contour_R_center': (None, None), 'slope_L': -1.5, 'slope_R': None}
{'time': 1731580463.043153, 'action': 'right', 'cumulative_go': 0.5529258251190186, 'cumulative_right': 0.9699618816375732, 'cumulative_left': 1.4684300422668457, 'contour_L_center': (61, 170), 'contour_R_center': (None, None), 'slope_L': -1.7333333333333334, 'slope_R': None}
